ID,Name,Age,Country,Score,Signup_Date
133,User_133,59.0,UK,50.84,2020-01-06 12:00:00
134,User_134,49.0,Kenya,86.4,2020-01-06 13:00:00
135,User_135,40.0,Germany,82.14,2020-01-06 14:00:00
136,User_136,45.0,India,93.12,2020-01-06 15:00:00
137,User_137,23.0,USA,87.14,2020-01-06 16:00:00
138,User_138,,India,59.35,2020-01-06 17:00:00
139,User_139,46.0,Kenya,51.27,2020-01-06 18:00:00
140,User_140,21.0,Germany,71.28,2020-01-06 19:00:00
141,User_141,56.0,UK,85.64,2020-01-06 20:00:00
142,User_142,29.0,Canada,80.41,2020-01-06 21:00:00
143,User_143,57.0,,81.39,2020-01-06 22:00:00
144,User_144,39.0,Canada,,2020-01-06 23:00:00
145,User_145,37.0,USA,58.45,2020-01-07 00:00:00
146,User_146,19.0,,80.96,2020-01-07 01:00:00
147,User_147,57.0,Germany,50.95,2020-01-07 02:00:00
148,User_148,31.0,India,63.39,2020-01-07 03:00:00
149,User_149,21.0,Canada,62.26,2020-01-07 04:00:00
150,User_150,35.0,UK,52.53,2020-01-07 05:00:00
151,User_151,47.0,Canada,91.54,2020-01-07 06:00:00
152,User_152,27.0,Germany,87.89,2020-01-07 07:00:00
153,,47.0,UK,65.39,2020-01-07 08:00:00
154,User_154,,UK,88.02,2020-01-07 09:00:00
155,User_155,21.0,Germany,83.54,2020-01-07 10:00:00
156,User_156,57.0,Kenya,62.73,2020-01-07 11:00:00
157,User_157,41.0,Kenya,90.19,2020-01-07 12:00:00
158,User_158,,Germany,98.13,2020-01-07 13:00:00
159,,39.0,USA,66.39,2020-01-07 14:00:00
160,User_160,20.0,India,50.34,2020-01-07 15:00:00
161,User_161,21.0,UK,54.95,2020-01-07 16:00:00
162,User_162,32.0,India,51.08,2020-01-07 17:00:00
163,User_163,60.0,,88.67,2020-01-07 18:00:00
164,User_164,39.0,UK,,2020-01-07 19:00:00
165,User_165,33.0,Kenya,84.13,2020-01-07 20:00:00
166,User_166,28.0,Canada,91.72,2020-01-07 21:00:00
167,User_167,43.0,India,53.48,2020-01-07 22:00:00
168,User_168,42.0,Germany,70.62,2020-01-07 23:00:00
169,,49.0,Germany,81.75,2020-01-08 00:00:00
170,User_170,50.0,Canada,62.74,2020-01-08 01:00:00
171,User_171,58.0,,72.2,2020-01-08 02:00:00
172,User_172,,Canada,53.79,2020-01-08 03:00:00
173,User_173,59.0,Canada,89.6,2020-01-08 04:00:00
174,User_174,30.0,,82.99,2020-01-08 05:00:00
175,User_175,58.0,Canada,71.17,2020-01-08 06:00:00
176,User_176,31.0,Germany,91.4,2020-01-08 07:00:00
177,User_177,19.0,India,,2020-01-08 08:00:00
178,User_178,46.0,,68.47,2020-01-08 09:00:00
179,User_179,39.0,Kenya,58.99,2020-01-08 10:00:00
180,User_180,54.0,Canada,,2020-01-08 11:00:00
181,User_181,31.0,UK,80.14,2020-01-08 12:00:00
182,User_182,37.0,,94.55,2020-01-08 13:00:00
183,User_183,18.0,Germany,84.73,2020-01-08 14:00:00
184,User_184,25.0,UK,,2020-01-08 15:00:00
185,User_185,38.0,Kenya,94.55,2020-01-08 16:00:00
186,User_186,35.0,India,75.48,2020-01-08 17:00:00
187,,27.0,Kenya,69.62,
188,User_188,57.0,India,,2020-01-08 19:00:00
189,User_189,33.0,USA,50.01,2020-01-08 20:00:00
190,User_190,27.0,Kenya,98.29,2020-01-08 21:00:00
191,User_191,19.0,USA,58.99,2020-01-08 22:00:00
192,User_192,,UK,72.98,2020-01-08 23:00:00
193,User_193,24.0,,,2020-01-09 00:00:00
194,User_194,57.0,India,88.5,2020-01-09 01:00:00
195,User_195,28.0,Canada,69.12,
196,,46.0,Germany,92.75,
197,,32.0,Canada,67.19,2020-01-09 04:00:00
198,User_198,39.0,Germany,59.51,2020-01-09 05:00:00
199,User_199,57.0,Canada,,2020-01-09 06:00:00
200,User_200,58.0,UK,65.09,2020-01-09 07:00:00
201,User_201,47.0,Canada,,2020-01-09 08:00:00
202,User_202,34.0,USA,92.77,2020-01-09 09:00:00
203,User_203,47.0,Canada,52.49,2020-01-09 10:00:00
204,User_204,29.0,USA,96.79,2020-01-09 11:00:00
205,User_205,41.0,UK,57.51,2020-01-09 12:00:00
206,User_206,45.0,,67.54,2020-01-09 13:00:00
207,User_207,40.0,UK,63.9,2020-01-09 14:00:00
208,User_208,35.0,,61.84,2020-01-09 15:00:00
209,User_209,39.0,,,2020-01-09 16:00:00
210,User_210,50.0,Canada,67.14,2020-01-09 17:00:00
211,User_211,44.0,USA,73.13,2020-01-09 18:00:00
212,User_212,37.0,,95.56,2020-01-09 19:00:00
213,User_213,23.0,USA,85.55,2020-01-09 20:00:00
214,,22.0,Canada,51.09,2020-01-09 21:00:00
215,User_215,50.0,Canada,80.2,2020-01-09 22:00:00
216,User_216,21.0,India,73.73,2020-01-09 23:00:00
217,User_217,19.0,Canada,66.17,2020-01-10 00:00:00
218,User_218,46.0,India,98.25,2020-01-10 01:00:00
219,,42.0,USA,,2020-01-10 02:00:00
220,User_220,60.0,Canada,75.4,2020-01-10 03:00:00
221,User_221,42.0,,53.69,2020-01-10 04:00:00
222,User_222,46.0,Kenya,50.78,2020-01-10 05:00:00
223,User_223,48.0,USA,98.22,2020-01-10 06:00:00
224,,31.0,Canada,98.06,2020-01-10 07:00:00
225,User_225,21.0,UK,,2020-01-10 08:00:00
226,,43.0,UK,66.7,2020-01-10 09:00:00
227,User_227,,USA,82.22,
228,User_228,40.0,,85.02,2020-01-10 11:00:00
229,User_229,20.0,USA,96.93,2020-01-10 12:00:00
230,,48.0,USA,96.39,2020-01-10 13:00:00
231,User_231,39.0,Canada,69.69,2020-01-10 14:00:00
232,User_232,22.0,Canada,66.7,2020-01-10 15:00:00
233,User_233,25.0,Germany,50.16,2020-01-10 16:00:00
234,User_234,29.0,,75.48,2020-01-10 17:00:00
235,User_235,44.0,,62.75,2020-01-10 18:00:00
236,User_236,43.0,Germany,70.27,2020-01-10 19:00:00
237,User_237,57.0,Germany,67.05,2020-01-10 20:00:00
238,User_238,26.0,Kenya,65.24,2020-01-10 21:00:00
239,User_239,46.0,,65.55,2020-01-10 22:00:00
240,User_240,28.0,USA,67.05,2020-01-10 23:00:00
241,User_241,55.0,Canada,90.17,2020-01-11 00:00:00
242,User_242,33.0,Canada,52.16,2020-01-11 01:00:00
243,User_243,22.0,Germany,54.08,2020-01-11 02:00:00
244,User_244,43.0,India,64.69,2020-01-11 03:00:00
245,User_245,42.0,,,2020-01-11 04:00:00
246,User_246,23.0,India,82.14,2020-01-11 05:00:00
247,User_247,29.0,Kenya,78.35,2020-01-11 06:00:00
248,User_248,21.0,UK,54.71,2020-01-11 07:00:00
249,User_249,32.0,UK,60.55,2020-01-11 08:00:00
250,,21.0,USA,55.88,2020-01-11 09:00:00
251,,27.0,Kenya,53.73,2020-01-11 10:00:00
252,User_252,50.0,Canada,76.42,2020-01-11 11:00:00
253,User_253,31.0,Kenya,79.54,2020-01-11 12:00:00
254,User_254,23.0,Kenya,81.87,2020-01-11 13:00:00
255,User_255,55.0,Germany,74.87,2020-01-11 14:00:00
256,User_256,24.0,USA,,2020-01-11 15:00:00
257,,33.0,UK,98.44,2020-01-11 16:00:00
258,User_258,24.0,Canada,68.75,2020-01-11 17:00:00
259,,55.0,Germany,51.85,2020-01-11 18:00:00
260,,29.0,,72.55,2020-01-11 19:00:00
261,User_261,39.0,Kenya,63.9,2020-01-11 20:00:00
262,User_262,28.0,Canada,84.22,2020-01-11 21:00:00
263,,21.0,USA,80.05,2020-01-11 22:00:00
264,User_264,47.0,Canada,54.94,2020-01-11 23:00:00
265,User_265,51.0,Kenya,83.43,2020-01-12 00:00:00
266,User_266,59.0,India,,2020-01-12 01:00:00
267,User_267,36.0,India,92.76,
268,User_268,40.0,Germany,82.8,2020-01-12 03:00:00
269,,38.0,USA,,2020-01-12 04:00:00
270,User_270,48.0,Kenya,59.63,2020-01-12 05:00:00
271,User_271,46.0,Germany,56.99,2020-01-12 06:00:00
272,User_272,40.0,UK,50.51,2020-01-12 07:00:00
273,User_273,,India,78.0,2020-01-12 08:00:00
274,User_274,30.0,UK,53.57,2020-01-12 09:00:00
275,User_275,37.0,UK,76.39,
276,User_276,22.0,USA,53.15,2020-01-12 11:00:00
277,User_277,48.0,Germany,96.01,2020-01-12 12:00:00
278,User_278,40.0,UK,56.72,2020-01-12 13:00:00
279,User_279,59.0,UK,62.7,2020-01-12 14:00:00
280,User_280,37.0,Germany,82.84,2020-01-12 15:00:00
281,User_281,51.0,India,89.41,2020-01-12 16:00:00
282,User_282,28.0,Canada,80.23,2020-01-12 17:00:00
283,User_283,26.0,India,83.41,2020-01-12 18:00:00
284,User_284,56.0,USA,,2020-01-12 19:00:00
285,User_285,,Kenya,90.25,2020-01-12 20:00:00
286,User_286,32.0,Germany,50.0,
287,User_287,19.0,Canada,51.86,2020-01-12 22:00:00
288,User_288,,Germany,68.05,2020-01-12 23:00:00
289,User_289,38.0,,93.77,2020-01-13 00:00:00
290,User_290,55.0,USA,72.05,2020-01-13 01:00:00
291,,39.0,,70.15,2020-01-13 02:00:00
292,User_292,39.0,,58.0,2020-01-13 03:00:00
293,User_293,36.0,USA,54.32,2020-01-13 04:00:00
294,User_294,24.0,India,89.35,
295,User_295,58.0,Canada,52.16,2020-01-13 06:00:00
296,User_296,33.0,UK,94.53,2020-01-13 07:00:00
297,User_297,38.0,UK,66.58,
298,,51.0,India,54.15,2020-01-13 09:00:00
299,User_299,41.0,USA,70.39,2020-01-13 10:00:00
300,User_300,57.0,UK,66.87,2020-01-13 11:00:00
301,User_301,31.0,Germany,76.32,2020-01-13 12:00:00
302,,26.0,India,50.66,2020-01-13 13:00:00
303,User_303,53.0,India,97.51,2020-01-13 14:00:00
304,User_304,44.0,India,79.64,2020-01-13 15:00:00
305,User_305,39.0,,96.55,2020-01-13 16:00:00
306,User_306,45.0,UK,66.66,2020-01-13 17:00:00
307,User_307,59.0,Canada,98.51,2020-01-13 18:00:00
308,User_308,33.0,Canada,66.77,2020-01-13 19:00:00
309,User_309,55.0,,77.17,2020-01-13 20:00:00
310,User_310,37.0,Kenya,69.33,2020-01-13 21:00:00
311,User_311,52.0,USA,98.17,2020-01-13 22:00:00
312,User_312,20.0,UK,96.8,2020-01-13 23:00:00
313,User_313,52.0,USA,95.2,2020-01-14 00:00:00
314,,55.0,USA,67.64,2020-01-14 01:00:00
315,User_315,44.0,,82.32,2020-01-14 02:00:00
316,User_316,20.0,USA,61.26,2020-01-14 03:00:00
317,User_317,24.0,,94.63,2020-01-14 04:00:00
318,,37.0,Canada,70.49,2020-01-14 05:00:00
319,User_319,20.0,UK,52.83,2020-01-14 06:00:00
320,User_320,,Germany,93.34,2020-01-14 07:00:00
321,User_321,48.0,USA,78.17,2020-01-14 08:00:00
322,,26.0,USA,78.55,2020-01-14 09:00:00
323,User_323,18.0,,97.7,2020-01-14 10:00:00
324,User_324,25.0,USA,99.55,2020-01-14 11:00:00
325,User_325,43.0,UK,54.17,2020-01-14 12:00:00
326,User_326,33.0,Germany,,2020-01-14 13:00:00
327,User_327,59.0,India,50.85,2020-01-14 14:00:00
328,User_328,39.0,,,2020-01-14 15:00:00
329,User_329,39.0,Canada,80.08,2020-01-14 16:00:00
330,User_330,28.0,Kenya,,2020-01-14 17:00:00
331,User_331,33.0,Kenya,71.68,2020-01-14 18:00:00
332,User_332,19.0,Canada,64.49,2020-01-14 19:00:00
333,User_333,45.0,,81.01,2020-01-14 20:00:00
334,User_334,54.0,Germany,66.69,2020-01-14 21:00:00
335,,47.0,Canada,,2020-01-14 22:00:00
336,User_336,21.0,USA,58.36,2020-01-14 23:00:00
337,User_337,57.0,UK,54.3,2020-01-15 00:00:00
338,,56.0,Germany,71.92,2020-01-15 01:00:00
339,,48.0,India,,2020-01-15 02:00:00
340,User_340,38.0,,60.81,2020-01-15 03:00:00
341,User_341,53.0,,78.0,2020-01-15 04:00:00
342,User_342,48.0,India,92.59,2020-01-15 05:00:00
343,User_343,47.0,UK,61.26,2020-01-15 06:00:00
344,User_344,39.0,,,2020-01-15 07:00:00
345,User_345,18.0,Germany,90.58,2020-01-15 08:00:00
346,User_346,54.0,UK,94.89,2020-01-15 09:00:00
347,User_347,37.0,USA,63.41,2020-01-15 10:00:00
348,User_348,25.0,USA,93.61,2020-01-15 11:00:00
349,User_349,30.0,USA,59.98,2020-01-15 12:00:00
350,User_350,54.0,,,2020-01-15 13:00:00
351,User_351,20.0,Kenya,79.32,2020-01-15 14:00:00
352,User_352,,India,,2020-01-15 15:00:00
353,User_353,52.0,India,70.19,2020-01-15 16:00:00
354,User_354,39.0,,74.92,2020-01-15 17:00:00
355,,22.0,UK,55.0,2020-01-15 18:00:00
356,User_356,56.0,USA,97.06,2020-01-15 19:00:00
357,User_357,56.0,USA,89.74,2020-01-15 20:00:00
358,User_358,35.0,India,76.68,2020-01-15 21:00:00
359,User_359,29.0,India,97.76,2020-01-15 22:00:00
360,User_360,37.0,Canada,82.99,2020-01-15 23:00:00
361,User_361,58.0,Kenya,66.91,2020-01-16 00:00:00
362,User_362,46.0,,75.56,2020-01-16 01:00:00
363,User_363,42.0,Canada,51.38,2020-01-16 02:00:00
364,User_364,57.0,,57.29,2020-01-16 03:00:00
365,User_365,45.0,,53.66,2020-01-16 04:00:00
366,User_366,33.0,UK,,2020-01-16 05:00:00
367,User_367,51.0,Germany,71.9,2020-01-16 06:00:00
368,User_368,57.0,UK,77.92,2020-01-16 07:00:00
369,User_369,26.0,Germany,75.2,2020-01-16 08:00:00
370,User_370,24.0,,91.8,2020-01-16 09:00:00
371,User_371,37.0,Germany,75.88,2020-01-16 10:00:00
372,User_372,18.0,USA,96.04,2020-01-16 11:00:00
373,User_373,46.0,UK,56.79,2020-01-16 12:00:00
374,User_374,34.0,UK,80.58,2020-01-16 13:00:00
375,User_375,38.0,Canada,68.94,2020-01-16 14:00:00
376,User_376,25.0,,98.25,2020-01-16 15:00:00
377,User_377,27.0,Germany,76.91,2020-01-16 16:00:00
378,User_378,51.0,India,55.6,2020-01-16 17:00:00
379,User_379,24.0,Germany,84.89,2020-01-16 18:00:00
380,User_380,51.0,USA,56.32,2020-01-16 19:00:00
381,User_381,28.0,Germany,71.2,2020-01-16 20:00:00
382,User_382,33.0,India,,
383,User_383,33.0,Kenya,,2020-01-16 22:00:00
384,,19.0,Germany,62.25,2020-01-16 23:00:00
385,User_385,51.0,Kenya,63.32,2020-01-17 00:00:00
386,User_386,36.0,Kenya,73.26,2020-01-17 01:00:00
387,User_387,19.0,Germany,58.41,2020-01-17 02:00:00
388,User_388,42.0,Canada,68.34,2020-01-17 03:00:00
389,User_389,39.0,Kenya,78.74,2020-01-17 04:00:00
390,User_390,35.0,Germany,80.93,2020-01-17 05:00:00
391,User_391,38.0,Canada,60.58,2020-01-17 06:00:00
392,User_392,29.0,Germany,87.66,2020-01-17 07:00:00
393,User_393,26.0,Canada,64.79,2020-01-17 08:00:00
394,User_394,18.0,,99.75,2020-01-17 09:00:00
395,User_395,35.0,USA,,2020-01-17 10:00:00
396,User_396,29.0,India,54.53,2020-01-17 11:00:00
397,User_397,28.0,Germany,,2020-01-17 12:00:00
398,,53.0,Kenya,76.42,2020-01-17 13:00:00
399,User_399,44.0,India,,2020-01-17 14:00:00
400,User_400,38.0,India,87.09,2020-01-17 15:00:00
401,User_401,31.0,India,86.38,2020-01-17 16:00:00
402,User_402,46.0,UK,73.44,2020-01-17 17:00:00
403,User_403,26.0,India,53.56,2020-01-17 18:00:00
404,User_404,44.0,India,68.78,2020-01-17 19:00:00
405,User_405,,Kenya,67.38,2020-01-17 20:00:00
406,User_406,43.0,USA,70.83,2020-01-17 21:00:00
407,,58.0,,60.71,2020-01-17 22:00:00
408,User_408,56.0,Germany,91.82,2020-01-17 23:00:00
409,User_409,59.0,UK,52.4,2020-01-18 00:00:00
410,User_410,32.0,Kenya,65.31,2020-01-18 01:00:00
411,User_411,23.0,Kenya,68.1,2020-01-18 02:00:00
412,User_412,57.0,India,81.12,2020-01-18 03:00:00
413,,56.0,Kenya,93.26,2020-01-18 04:00:00
414,User_414,49.0,USA,63.85,2020-01-18 05:00:00
415,User_415,22.0,Canada,71.54,2020-01-18 06:00:00
416,User_416,50.0,Kenya,95.63,2020-01-18 07:00:00
417,User_417,21.0,UK,84.18,2020-01-18 08:00:00
418,User_418,22.0,UK,,2020-01-18 09:00:00
419,User_419,36.0,India,80.81,2020-01-18 10:00:00
420,,55.0,USA,68.79,2020-01-18 11:00:00
421,User_421,54.0,UK,57.07,2020-01-18 12:00:00
422,User_422,55.0,Kenya,89.55,2020-01-18 13:00:00
423,User_423,,,73.98,2020-01-18 14:00:00
424,User_424,22.0,USA,72.51,
425,User_425,42.0,UK,99.9,
426,User_426,46.0,India,54.31,2020-01-18 17:00:00
427,User_427,34.0,USA,74.52,2020-01-18 18:00:00
428,,29.0,Kenya,64.77,2020-01-18 19:00:00
429,User_429,39.0,UK,92.77,2020-01-18 20:00:00
430,User_430,,Canada,58.44,2020-01-18 21:00:00
431,User_431,59.0,Canada,71.79,2020-01-18 22:00:00
432,User_432,37.0,,74.94,2020-01-18 23:00:00
433,,23.0,Kenya,,2020-01-19 00:00:00
434,User_434,,USA,72.83,2020-01-19 01:00:00
435,User_435,,Germany,73.28,2020-01-19 02:00:00
436,User_436,30.0,India,59.55,2020-01-19 03:00:00
437,User_437,48.0,Kenya,86.16,2020-01-19 04:00:00
438,User_438,37.0,Kenya,74.16,2020-01-19 05:00:00
439,User_439,44.0,Canada,79.56,2020-01-19 06:00:00
440,User_440,56.0,USA,94.96,2020-01-19 07:00:00
441,User_441,30.0,,69.02,2020-01-19 08:00:00
442,User_442,32.0,India,57.29,2020-01-19 09:00:00
443,User_443,46.0,,84.71,2020-01-19 10:00:00
444,User_444,19.0,,58.02,2020-01-19 11:00:00
445,,50.0,India,90.82,2020-01-19 12:00:00
446,User_446,45.0,USA,,2020-01-19 13:00:00
447,User_447,35.0,Germany,78.11,2020-01-19 14:00:00
448,User_448,27.0,India,,
449,User_449,59.0,Germany,88.29,2020-01-19 16:00:00
450,User_450,32.0,USA,55.27,2020-01-19 17:00:00
451,User_451,40.0,USA,65.67,2020-01-19 18:00:00
452,User_452,38.0,UK,86.84,2020-01-19 19:00:00
453,User_453,53.0,Germany,67.28,2020-01-19 20:00:00
454,User_454,27.0,India,93.32,2020-01-19 21:00:00
455,User_455,27.0,Canada,57.73,2020-01-19 22:00:00
456,User_456,40.0,India,90.58,2020-01-19 23:00:00
457,User_457,35.0,Kenya,53.37,2020-01-20 00:00:00
458,User_458,27.0,India,54.45,2020-01-20 01:00:00
459,User_459,52.0,Kenya,88.15,2020-01-20 02:00:00
460,,51.0,UK,85.72,2020-01-20 03:00:00
461,User_461,50.0,,67.9,2020-01-20 04:00:00
462,User_462,48.0,,67.48,2020-01-20 05:00:00
463,User_463,59.0,Canada,59.48,2020-01-20 06:00:00
464,,41.0,Canada,83.07,2020-01-20 07:00:00
465,User_465,39.0,UK,50.72,2020-01-20 08:00:00
466,User_466,53.0,Canada,97.9,2020-01-20 09:00:00
467,User_467,56.0,Germany,68.18,2020-01-20 10:00:00
468,User_468,31.0,,74.88,2020-01-20 11:00:00
469,User_469,30.0,UK,50.12,2020-01-20 12:00:00
470,User_470,27.0,Canada,82.85,2020-01-20 13:00:00
471,User_471,55.0,Germany,61.16,2020-01-20 14:00:00
472,User_472,55.0,UK,96.04,2020-01-20 15:00:00
473,User_473,21.0,,97.13,2020-01-20 16:00:00
474,User_474,19.0,UK,80.06,2020-01-20 17:00:00
475,User_475,52.0,Germany,72.19,2020-01-20 18:00:00
476,User_476,18.0,Germany,85.82,2020-01-20 19:00:00
477,User_477,46.0,Kenya,94.49,2020-01-20 20:00:00
478,User_478,20.0,UK,93.05,2020-01-20 21:00:00
479,User_479,31.0,USA,68.54,2020-01-20 22:00:00
480,User_480,57.0,Germany,75.24,2020-01-20 23:00:00
481,,32.0,Kenya,91.62,2020-01-21 00:00:00
482,User_482,40.0,UK,55.95,
483,User_483,38.0,Germany,58.01,2020-01-21 02:00:00
484,User_484,44.0,Kenya,68.15,2020-01-21 03:00:00
485,User_485,48.0,Kenya,74.47,2020-01-21 04:00:00
